condition,rank,signal,trial,modality,id
VAE,2,has_item,16,auditory,682
contrastive+autoencoder,3,has_item,16,auditory,336
contrastive,4,has_item,16,auditory,741
contrastive,0,has_item,17,auditory,6
contrastive+autoencoder,1,has_item,17,auditory,242
autoencoder,2,has_item,17,auditory,685
random,3,has_item,17,auditory,180
VAE,4,has_item,17,auditory,257
contrastive+autoencoder,0,has_item,18,auditory,680
random,1,has_item,18,auditory,755
autoencoder,2,has_item,18,auditory,754
VAE,3,has_item,18,auditory,426
contrastive,4,has_item,18,auditory,622
autoencoder,0,has_item,19,auditory,831
VAE,1,has_item,19,auditory,690
contrastive,2,has_item,19,auditory,645
random,3,has_item,19,auditory,125
contrastive+autoencoder,4,has_item,19,auditory,28
random,0,has_item,20,kinetic,890
autoencoder,1,has_item,20,kinetic,892
contrastive,2,has_item,20,kinetic,1017
VAE,3,has_item,20,kinetic,894
contrastive+autoencoder,4,has_item,20,kinetic,893
random,0,has_item,21,kinetic,1520
contrastive+autoencoder,1,has_item,21,kinetic,1501
VAE,2,has_item,21,kinetic,1505
autoencoder,3,has_item,21,kinetic,1511
contrastive,4,has_item,21,kinetic,844
contrastive,0,has_item,22,kinetic,122
autoencoder,1,has_item,22,kinetic,102
random,2,has_item,22,kinetic,112
VAE,3,has_item,22,kinetic,103
contrastive+autoencoder,4,has_item,22,kinetic,108
contrastive,0,has_item,23,kinetic,2105
autoencoder,1,has_item,23,kinetic,2083
random,2,has_item,23,kinetic,2094
VAE,3,has_item,23,kinetic,2091
contrastive+autoencoder,4,has_item,23,kinetic,2092
random,0,has_item,24,kinetic,1399
autoencoder,1,has_item,24,kinetic,1384
contrastive,2,has_item,24,kinetic,136
contrastive+autoencoder,3,has_item,24,kinetic,1376
VAE,4,has_item,24,kinetic,1389
autoencoder,0,has_item,25,kinetic,890
contrastive+autoencoder,1,has_item,25,kinetic,894
random,2,has_item,25,kinetic,893
contrastive,3,has_item,25,kinetic,1017
VAE,4,has_item,25,kinetic,892
contrastive+autoencoder,0,has_item,26,kinetic,948
VAE,1,has_item,26,kinetic,945
autoencoder,2,has_item,26,kinetic,926
random,3,has_item,26,kinetic,936
contrastive,4,has_item,26,kinetic,1039
contrastive,0,has_item,27,kinetic,270
VAE,1,has_item,27,kinetic,1391
random,2,has_item,27,kinetic,1394
autoencoder,3,has_item,27,kinetic,1443
contrastive+autoencoder,4,has_item,27,kinetic,1392
autoencoder,0,has_item,28,kinetic,1207
contrastive,1,has_item,28,kinetic,460
random,2,has_item,28,kinetic,1209
VAE,3,has_item,28,kinetic,1202
contrastive+autoencoder,4,has_item,28,kinetic,1203
VAE,0,has_item,29,kinetic,967
autoencoder,1,has_item,29,kinetic,965
contrastive,2,has_item,29,kinetic,1340
random,3,has_item,29,kinetic,969
contrastive+autoencoder,4,has_item,29,kinetic,968
