condition,rank,signal,trial,modality,id
contrastive,1,searching,24,kinetic,1659
contrastive+autoencoder,2,searching,24,kinetic,370
autoencoder,3,searching,24,kinetic,358
VAE,4,searching,24,kinetic,355
contrastive,0,searching,25,kinetic,1439
autoencoder,1,searching,25,kinetic,1378
VAE,2,searching,25,kinetic,1397
random,3,searching,25,kinetic,1377
contrastive+autoencoder,4,searching,25,kinetic,1375
random,0,searching,26,kinetic,1506
contrastive,1,searching,26,kinetic,1595
contrastive+autoencoder,2,searching,26,kinetic,1509
autoencoder,3,searching,26,kinetic,1521
VAE,4,searching,26,kinetic,1511
VAE,0,searching,27,kinetic,895
random,1,searching,27,kinetic,879
contrastive+autoencoder,2,searching,27,kinetic,896
autoencoder,3,searching,27,kinetic,881
contrastive,4,searching,27,kinetic,2026
contrastive,0,searching,28,kinetic,1037
random,1,searching,28,kinetic,1447
contrastive+autoencoder,2,searching,28,kinetic,1431
autoencoder,3,searching,28,kinetic,1428
VAE,4,searching,28,kinetic,1436
VAE,0,searching,29,kinetic,1555
contrastive+autoencoder,1,searching,29,kinetic,1570
random,2,searching,29,kinetic,1561
autoencoder,3,searching,29,kinetic,1550
contrastive,4,searching,29,kinetic,353
