,time,signal,type,phrase,results
21,881.7878706455231,searching,Audio, ,"1882,1883,1884,1880,1881,1631,1630,1888,1889,1639,1510,1637,1005,1886,1633,1930,1887,1506,1632,1636,1938,1638,1885,1931,1010,1686,1897,1878,1687,1000,1684,1015,1933,1505,1511,1899,1560,1634,1898,1509,1635,1894,1555,1514,1876,1019,1688,1937,1680,1895,1681,895,1939,1520,1879,1896,1877,1936,1689,1020,894,1006,1683,1685,1934,1940,1021,1646,1890,1645,1935,1513,1050,1521,1682,1932,1648,875,1626,1875,1561,1556,1260,884,1512,1625,880,1893,1001,1649,1508,1507,1263,1501,1941,1250,1564,1065,1647,1055"
22,905.5486142635345,searching,Movement, ,"1882,1883,1884,1880,1881,1631,1630,1888,1889,1639,1510,1637,1005,1886,1633,1930,1887,1506,1632,1636,1938,1638,1885,1931,1010,1686,1897,1878,1687,1000,1684,1015,1933,1505,1511,1899,1560,1634,1898,1509,1635,1894,1555,1514,1876,1019,1688,1937,1680,1895,1681,895,1939,1520,1879,1896,1877,1936,1689,1020,894,1006,1683,1685,1934,1940,1021,1646,1890,1645,1935,1513,1050,1521,1682,1932,1648,875,1626,1875,1561,1556,1260,884,1512,1625,880,1893,1001,1649,1508,1507,1263,1501,1941,1250,1564,1065,1647,1055"
23,948.8526411056519,idle,Movement, ,"1882,1883,1884,1880,1881,1631,1630,1888,1889,1639,1510,1637,1005,1886,1633,1930,1887,1506,1632,1636,1938,1638,1885,1931,1010,1686,1897,1878,1687,1000,1684,1015,1933,1505,1511,1899,1560,1634,1898,1509,1635,1894,1555,1514,1876,1019,1688,1937,1680,1895,1681,895,1939,1520,1879,1896,1877,1936,1689,1020,894,1006,1683,1685,1934,1940,1021,1646,1890,1645,1935,1513,1050,1521,1682,1932,1648,875,1626,1875,1561,1556,1260,884,1512,1625,880,1893,1001,1649,1508,1507,1263,1501,1941,1250,1564,1065,1647,1055"
24,950.0822172164917,idle,Movement, ,"927,2653,1688,1242,5205,2329,719,497,1809,906,5521,1231,1762,2363,5530,3995,2336,2526,5054,273,2404,2123,317,3887,2463,4886,2833,2911,958,1179,3203,1484,1147,4882,2852,3345,517,892,1504,3120,1702,1377,4881,5394,1305,466,457,2729,477,4835,5031,1598,4562,97,4875,4099,2766,4914,1180,167,1052,280,4115,1655,2469,2166,1875,582,556,928,1486,3167,2797,875,545,2957,3204,24,874,2890,1056,979,4425,2919,650,200,802,1756,468,1307,4112,1078,2558,2842,1393,4344,1592,1705,4093,1694"
25,958.3838810920715,idle,Video,Listen,
26,963.2955646514893,idle,Video,Listen,
27,966.3676965236664,idle,Video,hear,"3867,3871,5100,53,3801,3875,4754,4962,3696,5840,3704,3703,479,4042,3877,3868,3594,3964,4149,3864,4915,3880,3683,4753,4935,4133,4063,5697,4054,3353,3881,4760,3694,3870,4050,4044,4171,4756,4692,2851,50,3697,3865,5080,4905,3866,5096,3651,3691,4766,3879,4767,4062,3685,3701,4046,3699,3785,3872,4908,1311,4170,4925,3869,3687,3686,3876,5783,3692,4057,5767,3878,4058,3873,1664,5617,4056"
28,974.6645457744598,idle,Video,ready,
29,984.7976641654968,idle,Video,wave,
30,989.109052658081,idle,Video,wave,"2329,2526,2123,2463,4886,4882,1377,4881,4875,1655,2469,2797,2890,979,2919,2842,2063,1107,4436,4872,2661,1324,2736,360,2119,2488,251,1759,107,4879,1581,1975,120,2047,3724,850,586,1409,149,261,4997,503,2614,2738,4442,2935,2893,3545,2965,1661,933,4317,3485,2934,2551,3971,2557,263,2330,374,5100,1519,726,2583,2325,1476,1262,2694,1136,1085,2737,818,694,2474,3730,2552,4840,2646,1518,855,2892,365,5492,724,3007,4192,2936,1034,1370,2962,110,3972,2346,3530,1304,3555,5910,2810,2891,2692"
31,998.8259942531586,idle,Video,Load,"4962,156,5262,73,190,5267,5263,208,651,4664,4663,857,1627,794,366,243,402,5253,228,3012,2706,2601,5257"
32,1013.8526284694672,idle,Video,Voice,
33,1015.8761537075043,idle,Video,Voice,
34,1021.0502574443817,idle,Video,Microphone,"2404,2957,4093,709,980,844,2442,2059,2111,2566,2920,4104,1706,1062,2862,2410,723,2535,2315,2680,2758,2258,2820,2712,2502,2472,4100,460,2259,183,2819,3126"
35,1053.9911570549011,idle,Video,Sound,"1156,588,1870,113,3293,1562,4105,759"
36,1068.9041149616241,idle,Audio, ,"447,456,121,178,341,27,234,176,571,151,497,555,581,168,233,588,515,451,358,116,104,547,825,91,323,163,727,841,63,207,807,650,682,267,508,749,466,19,590,446,81,288,99,86,138,537,750,275,247,834,431,382,384,54,45,256,779,385,240,524,182,33,452,864,479,300,685,386,35,835,194,181,806,261,291,336,71,624,664,134,281,188,352,257,640,460,859,602,245,638,31,505,514,328,67,536,840,737,491,665"
37,1149.5741784572601,idle,Audio, ,"1882,1883,1884,1880,1881,1631,1630,1888,1889,1639,1510,1637,1005,1886,1633,1930,1887,1506,1632,1636,1938,1638,1885,1931,1010,1686,1897,1878,1687,1000,1684,1015,1933,1505,1511,1899,1560,1634,1898,1509,1635,1894,1555,1514,1876,1019,1688,1937,1680,1895,1681,895,1939,1520,1879,1896,1877,1936,1689,1020,894,1006,1683,1685,1934,1940,1021,1646,1890,1645,1935,1513,1050,1521,1682,1932,1648,875,1626,1875,1561,1556,1260,884,1512,1625,880,1893,1001,1649,1508,1507,1263,1501,1941,1250,1564,1065,1647,1055"
38,1255.4435589313507,idle,Movement, ,"1882,1883,1884,1880,1881,1631,1630,1888,1889,1639,1510,1637,1005,1886,1633,1930,1887,1506,1632,1636,1938,1638,1885,1931,1010,1686,1897,1878,1687,1000,1684,1015,1933,1505,1511,1899,1560,1634,1898,1509,1635,1894,1555,1514,1876,1019,1688,1937,1680,1895,1681,895,1939,1520,1879,1896,1877,1936,1689,1020,894,1006,1683,1685,1934,1940,1021,1646,1890,1645,1935,1513,1050,1521,1682,1932,1648,875,1626,1875,1561,1556,1260,884,1512,1625,880,1893,1001,1649,1508,1507,1263,1501,1941,1250,1564,1065,1647,1055"
