modality,signal,embedding_type,embedding_size,metric,seed
kinesthetic,has_item,contrastive,16,0.5,1
kinesthetic,has_item,contrastive,16,1.0,1
kinesthetic,has_item,contrastive,16,1.0,1
kinesthetic,has_item,contrastive,16,0.6666666865348816,1
kinesthetic,has_information,contrastive,16,1.0,1
kinesthetic,has_information,contrastive,16,0.0,1
kinesthetic,has_information,contrastive,16,1.0,1
kinesthetic,has_information,contrastive,16,1.0,1
kinesthetic,has_information,contrastive,16,1.0,1
kinesthetic,has_information,contrastive,16,1.0,1
kinesthetic,idle,autoencoder,16,0.0,1
kinesthetic,idle,autoencoder,16,0.0,1
kinesthetic,idle,autoencoder,16,0.6666666865348816,1
kinesthetic,idle,autoencoder,16,0.0,1
kinesthetic,searching,autoencoder,16,1.0,1
kinesthetic,searching,autoencoder,16,0.6666666865348816,1
kinesthetic,searching,autoencoder,16,1.0,1
kinesthetic,searching,autoencoder,16,0.0,1
kinesthetic,searching,autoencoder,16,0.5,1
kinesthetic,searching,autoencoder,16,0.0,1
kinesthetic,searching,autoencoder,16,0.0,1
kinesthetic,searching,autoencoder,16,1.0,1
kinesthetic,has_item,autoencoder,16,0.0,1
kinesthetic,has_item,autoencoder,16,0.3333333432674408,1
kinesthetic,has_item,autoencoder,16,0.0,1
kinesthetic,has_item,autoencoder,16,0.0,1
kinesthetic,has_item,autoencoder,16,1.0,1
kinesthetic,has_item,autoencoder,16,0.0,1
kinesthetic,has_item,autoencoder,16,1.0,1
kinesthetic,has_item,autoencoder,16,1.0,1
kinesthetic,has_item,autoencoder,16,0.6666666865348816,1
kinesthetic,has_information,autoencoder,16,0.0,1
kinesthetic,has_information,autoencoder,16,0.0,1
kinesthetic,has_information,autoencoder,16,1.0,1
kinesthetic,has_information,autoencoder,16,1.0,1
kinesthetic,has_information,autoencoder,16,1.0,1
kinesthetic,has_information,autoencoder,16,1.0,1
kinesthetic,idle,random,16,0.0,1
kinesthetic,idle,random,16,0.0,1
kinesthetic,idle,random,16,0.6666666865348816,1
kinesthetic,idle,random,16,0.0,1
kinesthetic,searching,random,16,0.5,1
kinesthetic,searching,random,16,0.6666666865348816,1
kinesthetic,searching,random,16,1.0,1
kinesthetic,searching,random,16,0.0,1
kinesthetic,searching,random,16,0.5,1
kinesthetic,searching,random,16,0.0,1
kinesthetic,searching,random,16,1.0,1
kinesthetic,searching,random,16,1.0,1
kinesthetic,has_item,random,16,0.0,1
kinesthetic,has_item,random,16,0.3333333432674408,1
kinesthetic,has_item,random,16,1.0,1
kinesthetic,has_item,random,16,0.0,1
kinesthetic,has_item,random,16,1.0,1
kinesthetic,has_item,random,16,0.0,1
kinesthetic,has_item,random,16,1.0,1
kinesthetic,has_item,random,16,1.0,1
kinesthetic,has_item,random,16,0.6666666865348816,1
kinesthetic,has_information,random,16,1.0,1
kinesthetic,has_information,random,16,0.0,1
kinesthetic,has_information,random,16,1.0,1
kinesthetic,has_information,random,16,1.0,1
kinesthetic,has_information,random,16,1.0,1
kinesthetic,has_information,random,16,1.0,1
visual,idle,contrastive+autoencoder,16,1.0,2
visual,idle,contrastive+autoencoder,16,0.5,2
visual,idle,contrastive+autoencoder,16,1.0,2
visual,idle,contrastive+autoencoder,16,1.0,2
visual,idle,contrastive+autoencoder,16,1.0,2
visual,idle,contrastive+autoencoder,16,1.0,2
visual,idle,contrastive+autoencoder,16,1.0,2
visual,idle,contrastive+autoencoder,16,1.0,2
visual,idle,contrastive+autoencoder,16,1.0,2
visual,searching,contrastive+autoencoder,16,1.0,2
visual,searching,contrastive+autoencoder,16,1.0,2
visual,searching,contrastive+autoencoder,16,1.0,2
visual,searching,contrastive+autoencoder,16,0.6666666865348816,2
visual,searching,contrastive+autoencoder,16,1.0,2
visual,searching,contrastive+autoencoder,16,1.0,2
visual,searching,contrastive+autoencoder,16,1.0,2
visual,searching,contrastive+autoencoder,16,0.6000000238418579,2
visual,searching,contrastive+autoencoder,16,1.0,2
visual,searching,contrastive+autoencoder,16,0.0,2
visual,searching,contrastive+autoencoder,16,0.6428571343421936,2
visual,has_item,contrastive+autoencoder,16,0.5,2
visual,has_item,contrastive+autoencoder,16,0.0,2
visual,has_item,contrastive+autoencoder,16,1.0,2
visual,has_item,contrastive+autoencoder,16,0.8333333134651184,2
visual,has_item,contrastive+autoencoder,16,1.0,2
visual,has_item,contrastive+autoencoder,16,0.0,2
visual,has_item,contrastive+autoencoder,16,1.0,2
visual,has_item,contrastive+autoencoder,16,0.8999999761581421,2
visual,has_item,contrastive+autoencoder,16,1.0,2
visual,has_item,contrastive+autoencoder,16,0.0,2
visual,has_item,contrastive+autoencoder,16,1.0,2
visual,has_information,contrastive+autoencoder,16,0.6666666865348816,2
visual,has_information,contrastive+autoencoder,16,1.0,2
visual,has_information,contrastive+autoencoder,16,1.0,2
visual,has_information,contrastive+autoencoder,16,1.0,2
visual,has_information,contrastive+autoencoder,16,1.0,2
visual,has_information,contrastive+autoencoder,16,0.0,2
visual,has_information,contrastive+autoencoder,16,1.0,2
visual,has_information,contrastive+autoencoder,16,0.75,2
visual,has_information,contrastive+autoencoder,16,1.0,2
visual,has_information,contrastive+autoencoder,16,1.0,2
visual,has_information,contrastive+autoencoder,16,0.0,2
visual,idle,contrastive,16,1.0,2
visual,idle,contrastive,16,0.625,2
visual,idle,contrastive,16,1.0,2
visual,idle,contrastive,16,1.0,2
visual,idle,contrastive,16,1.0,2
visual,idle,contrastive,16,0.5,2
visual,idle,contrastive,16,1.0,2
visual,idle,contrastive,16,1.0,2
visual,idle,contrastive,16,1.0,2
visual,searching,contrastive,16,1.0,2
visual,searching,contrastive,16,1.0,2
visual,searching,contrastive,16,1.0,2
visual,searching,contrastive,16,0.3333333432674408,2
visual,searching,contrastive,16,1.0,2
visual,searching,contrastive,16,1.0,2
visual,searching,contrastive,16,1.0,2
visual,searching,contrastive,16,0.4000000059604645,2
visual,searching,contrastive,16,1.0,2
visual,searching,contrastive,16,0.0,2
visual,searching,contrastive,16,0.7142857313156128,2
visual,has_item,contrastive,16,0.5,2
visual,has_item,contrastive,16,0.0,2
visual,has_item,contrastive,16,1.0,2
visual,has_item,contrastive,16,0.8333333134651184,2
visual,has_item,contrastive,16,1.0,2
visual,has_item,contrastive,16,0.0,2
visual,has_item,contrastive,16,1.0,2
visual,has_item,contrastive,16,0.8999999761581421,2
visual,has_item,contrastive,16,1.0,2
visual,has_item,contrastive,16,0.0,2
visual,has_item,contrastive,16,1.0,2
visual,has_information,contrastive,16,0.3333333432674408,2
visual,has_information,contrastive,16,0.5,2
visual,has_information,contrastive,16,0.25,2
visual,has_information,contrastive,16,0.5,2
visual,has_information,contrastive,16,1.0,2
visual,has_information,contrastive,16,0.0,2
visual,has_information,contrastive,16,1.0,2
visual,has_information,contrastive,16,0.625,2
