modality,signal,embedding_type,embedding_size,metric
kinesthetic,has_item,contrastive+autoencoder,4,0.0
kinesthetic,has_item,contrastive+autoencoder,4,0.0
kinesthetic,has_item,contrastive+autoencoder,4,1.0
kinesthetic,has_item,contrastive+autoencoder,4,0.0
kinesthetic,has_item,contrastive+autoencoder,4,1.0
kinesthetic,has_item,contrastive+autoencoder,4,1.0
kinesthetic,has_item,contrastive+autoencoder,4,0.3333333432674408
kinesthetic,has_information,contrastive+autoencoder,4,1.0
kinesthetic,has_information,contrastive+autoencoder,4,0.0
kinesthetic,has_information,contrastive+autoencoder,4,1.0
kinesthetic,has_information,contrastive+autoencoder,4,1.0
kinesthetic,has_information,contrastive+autoencoder,4,1.0
kinesthetic,has_information,contrastive+autoencoder,4,0.0
kinesthetic,idle,contrastive,4,0.0
kinesthetic,idle,contrastive,4,0.0
kinesthetic,idle,contrastive,4,0.6666666865348816
kinesthetic,idle,contrastive,4,0.0
kinesthetic,searching,contrastive,4,0.5
kinesthetic,searching,contrastive,4,0.6666666865348816
kinesthetic,searching,contrastive,4,1.0
kinesthetic,searching,contrastive,4,0.0
kinesthetic,searching,contrastive,4,0.5
kinesthetic,searching,contrastive,4,0.0
kinesthetic,searching,contrastive,4,1.0
kinesthetic,searching,contrastive,4,1.0
kinesthetic,has_item,contrastive,4,0.0
kinesthetic,has_item,contrastive,4,0.6666666865348816
kinesthetic,has_item,contrastive,4,1.0
kinesthetic,has_item,contrastive,4,0.0
kinesthetic,has_item,contrastive,4,1.0
kinesthetic,has_item,contrastive,4,0.0
kinesthetic,has_item,contrastive,4,1.0
kinesthetic,has_item,contrastive,4,1.0
kinesthetic,has_item,contrastive,4,0.3333333432674408
kinesthetic,has_information,contrastive,4,0.0
kinesthetic,has_information,contrastive,4,0.0
kinesthetic,has_information,contrastive,4,1.0
kinesthetic,has_information,contrastive,4,1.0
kinesthetic,has_information,contrastive,4,1.0
kinesthetic,has_information,contrastive,4,1.0
kinesthetic,idle,autoencoder,4,0.0
kinesthetic,idle,autoencoder,4,0.0
kinesthetic,idle,autoencoder,4,0.6666666865348816
kinesthetic,idle,autoencoder,4,0.0
kinesthetic,searching,autoencoder,4,0.5
kinesthetic,searching,autoencoder,4,0.6666666865348816
kinesthetic,searching,autoencoder,4,1.0
kinesthetic,searching,autoencoder,4,1.0
kinesthetic,searching,autoencoder,4,0.5
kinesthetic,searching,autoencoder,4,0.0
kinesthetic,searching,autoencoder,4,0.0
kinesthetic,searching,autoencoder,4,1.0
kinesthetic,has_item,autoencoder,4,0.0
kinesthetic,has_item,autoencoder,4,0.3333333432674408
kinesthetic,has_item,autoencoder,4,0.0
kinesthetic,has_item,autoencoder,4,0.5
kinesthetic,has_item,autoencoder,4,1.0
kinesthetic,has_item,autoencoder,4,0.5
kinesthetic,has_item,autoencoder,4,1.0
kinesthetic,has_item,autoencoder,4,1.0
kinesthetic,has_item,autoencoder,4,0.6666666865348816
kinesthetic,has_information,autoencoder,4,0.0
kinesthetic,has_information,autoencoder,4,0.0
kinesthetic,has_information,autoencoder,4,1.0
kinesthetic,has_information,autoencoder,4,1.0
kinesthetic,has_information,autoencoder,4,1.0
kinesthetic,has_information,autoencoder,4,0.0
kinesthetic,idle,random,4,0.0
kinesthetic,idle,random,4,0.0
kinesthetic,idle,random,4,0.6666666865348816
kinesthetic,idle,random,4,0.0
kinesthetic,searching,random,4,0.5
kinesthetic,searching,random,4,0.6666666865348816
kinesthetic,searching,random,4,0.0
kinesthetic,searching,random,4,1.0
kinesthetic,searching,random,4,0.5
kinesthetic,searching,random,4,0.0
kinesthetic,searching,random,4,0.0
kinesthetic,searching,random,4,1.0
kinesthetic,has_item,random,4,0.0
kinesthetic,has_item,random,4,0.3333333432674408
kinesthetic,has_item,random,4,1.0
kinesthetic,has_item,random,4,0.0
kinesthetic,has_item,random,4,1.0
kinesthetic,has_item,random,4,0.0
kinesthetic,has_item,random,4,0.0
kinesthetic,has_item,random,4,0.0
kinesthetic,has_item,random,4,0.6666666865348816
kinesthetic,has_information,random,4,1.0
