modality,embedding_type,embedding_size,metric,seed
kinesthetic,autoencoder,128,0.7777777910232544,42
kinesthetic,autoencoder,128,0.5555555820465088,42
kinesthetic,autoencoder,128,0.6666666865348816,42
kinesthetic,autoencoder,128,0.6666666865348816,42
kinesthetic,autoencoder,128,0.6666666865348816,42
kinesthetic,autoencoder,128,0.7777777910232544,42
kinesthetic,autoencoder,128,0.6666666865348816,42
kinesthetic,autoencoder,128,0.7777777910232544,42
kinesthetic,autoencoder,128,0.5,42
kinesthetic,autoencoder,128,0.875,42
kinesthetic,autoencoder,128,0.625,42
kinesthetic,autoencoder,128,0.625,42
kinesthetic,autoencoder,128,0.625,42
kinesthetic,autoencoder,128,0.625,42
kinesthetic,autoencoder,128,0.625,42
kinesthetic,autoencoder,128,0.5,42
kinesthetic,autoencoder,128,0.625,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,0.5,42
kinesthetic,random,128,1.0,42
kinesthetic,random,128,1.0,42
kinesthetic,random,128,0.5714285969734192,42
kinesthetic,random,128,0.7142857313156128,42
kinesthetic,random,128,0.7142857313156128,42
kinesthetic,random,128,0.8571428656578064,42
kinesthetic,random,128,0.5714285969734192,42
kinesthetic,random,128,0.5714285969734192,42
kinesthetic,random,128,0.7142857313156128,42
kinesthetic,random,128,0.7142857313156128,42
kinesthetic,random,128,0.8888888955116272,42
kinesthetic,random,128,0.8888888955116272,42
kinesthetic,random,128,1.0,42
kinesthetic,random,128,0.7777777910232544,42
kinesthetic,random,128,0.8888888955116272,42
kinesthetic,random,128,0.7777777910232544,42
kinesthetic,random,128,1.0,42
kinesthetic,random,128,0.7777777910232544,42
kinesthetic,random,128,0.8888888955116272,42
kinesthetic,random,128,0.8888888955116272,42
kinesthetic,random,128,0.8571428656578064,42
kinesthetic,random,128,0.7857142686843872,42
kinesthetic,random,128,0.7857142686843872,42
kinesthetic,random,128,0.8571428656578064,42
kinesthetic,random,128,0.8571428656578064,42
kinesthetic,random,128,0.7857142686843872,42
kinesthetic,random,128,0.7857142686843872,42
kinesthetic,random,128,0.7857142686843872,42
