,pid,modality,method,embedding_size,accuracy
188,2,auditory,contrastive+autoencoder,128,0.975
189,29,auditory,contrastive+autoencoder,128,0.9125
190,11,auditory,contrastive+autoencoder,128,0.9
191,23,auditory,contrastive+autoencoder,128,0.975
192,38,auditory,contrastive+autoencoder,128,0.9125
193,20,auditory,contrastive+autoencoder,128,0.9875
194,32,auditory,contrastive+autoencoder,128,0.8625
195,17,auditory,contrastive+autoencoder,128,0.9875
196,26,auditory,contrastive+autoencoder,128,0.9625
197,14,auditory,contrastive+autoencoder,128,0.8916666626930236
198,5,auditory,contrastive+autoencoder,128,0.9125
199,35,auditory,contrastive+autoencoder,128,0.9625
200,34,visual,contrastive+autoencoder,128,0.9875
201,28,visual,contrastive+autoencoder,128,0.9375
202,7,visual,contrastive+autoencoder,128,0.975
203,31,visual,contrastive+autoencoder,128,0.9875
204,4,visual,contrastive+autoencoder,128,0.975
205,13,visual,contrastive+autoencoder,128,0.9625
206,25,visual,contrastive+autoencoder,128,0.9375
207,37,visual,contrastive+autoencoder,128,1.0
208,1,visual,contrastive+autoencoder,128,0.975
209,19,visual,contrastive+autoencoder,128,1.0
210,40,visual,contrastive+autoencoder,128,0.9875
211,16,visual,contrastive+autoencoder,128,0.95
212,22,visual,contrastive+autoencoder,128,0.9875
213,10,visual,contrastive+autoencoder,128,0.9625
214,8,auditory,autoencoder,128,0.6166666626930237
215,2,auditory,autoencoder,128,0.6791666626930237
216,29,auditory,autoencoder,128,0.8
217,11,auditory,autoencoder,128,0.65
218,23,auditory,autoencoder,128,0.85
219,38,auditory,autoencoder,128,0.7333333373069764
220,20,auditory,autoencoder,128,0.7041666626930236
221,32,auditory,autoencoder,128,0.6583333373069763
222,17,auditory,autoencoder,128,0.875
223,26,auditory,autoencoder,128,0.8625
224,14,auditory,autoencoder,128,0.7083333373069763
225,5,auditory,autoencoder,128,0.625
226,35,auditory,autoencoder,128,0.8041666626930237
227,39,kinetic,contrastive,128,0.9625
228,6,kinetic,contrastive,128,0.975
229,33,kinetic,contrastive,128,0.9875
230,3,kinetic,contrastive,128,0.9875
231,18,kinetic,contrastive,128,0.975
232,27,kinetic,contrastive,128,0.975
233,15,kinetic,contrastive,128,0.9875
234,24,kinetic,contrastive,128,0.9625
235,21,kinetic,contrastive,128,0.925
236,36,kinetic,contrastive,128,0.9875
237,30,kinetic,contrastive,128,0.9875
238,12,kinetic,contrastive,128,0.9875
239,9,kinetic,contrastive,128,1.0
