modality,signal,embed_type,score
auditory,searching,autoencoder,0.02779153839531574
auditory,searching,autoencoder,0.029270837729834756
auditory,has_information,autoencoder,0.039567957665378226
auditory,has_information,autoencoder,0.0164519128581185
auditory,has_information,autoencoder,0.02953331446347751
auditory,has_information,autoencoder,0.04316910666755669
auditory,has_information,autoencoder,0.036701788259060515
kinesthetic,has_item,autoencoder,0.012775336488991318
kinesthetic,has_item,autoencoder,0.009958815660763214
kinesthetic,has_item,autoencoder,0.011822008725916728
kinesthetic,has_item,autoencoder,0.011567933845576781
kinesthetic,has_item,autoencoder,0.013154154918606487
kinesthetic,idle,autoencoder,0.009817062427945776
kinesthetic,idle,autoencoder,0.008817073075199688
kinesthetic,idle,autoencoder,0.010199587127563687
kinesthetic,idle,autoencoder,0.01139301513808685
kinesthetic,idle,autoencoder,0.0034698239712474457
kinesthetic,searching,autoencoder,0.016368910108867558
kinesthetic,searching,autoencoder,0.009740580015224992
kinesthetic,searching,autoencoder,0.01111566611627704
kinesthetic,searching,autoencoder,0.003004070282657681
kinesthetic,searching,autoencoder,0.0046978004871417
kinesthetic,has_information,autoencoder,0.008812552796444547
kinesthetic,has_information,autoencoder,0.01743022532943237
kinesthetic,has_information,autoencoder,0.015305481246532188
kinesthetic,has_information,autoencoder,0.01071300441180108
kinesthetic,has_information,autoencoder,0.00917512922568169
visual,has_item,random,0.0018603769082100603
visual,has_item,random,0.005017737663836937
visual,has_item,random,0.0028941339449239678
visual,has_item,random,0.005219104013758273
visual,has_item,random,0.004269410567176633
visual,idle,random,0.0009509656927339339
visual,idle,random,0.003741652598414874
visual,idle,random,0.003814824869809277
visual,idle,random,0.0014209250410496623
visual,idle,random,0.002910979736517954
visual,searching,random,0.00409587222416746
visual,searching,random,0.004031444850329548
visual,searching,random,0.003659513172089647
visual,searching,random,0.003695870849907505
visual,searching,random,0.004372499811805562
visual,has_information,random,0.006368966590407632
visual,has_information,random,0.005845985882679551
visual,has_information,random,0.03808015041582178
visual,has_information,random,0.00457918273267286
visual,has_information,random,0.004494656284129446
auditory,has_item,random,0.05948799332248365
auditory,has_item,random,0.020445064564024118
auditory,has_item,random,0.030284092536749165
auditory,has_item,random,0.03318229806969041
auditory,has_item,random,0.02196062552115416
auditory,idle,random,0.02365697623464726
auditory,idle,random,0.018865170156322362
auditory,idle,random,0.01770356321493251
auditory,idle,random,0.012195956415776222
auditory,idle,random,0.01614079378147474
auditory,searching,random,0.028861245170476123
auditory,searching,random,0.023159466961203017
auditory,searching,random,0.029250515644774534
auditory,searching,random,0.026295364202428943
auditory,searching,random,0.02958799344187002
auditory,has_information,random,0.028260639669652244
auditory,has_information,random,0.028221482261590335
auditory,has_information,random,0.028774718748577337
auditory,has_information,random,0.026757964371401995
auditory,has_information,random,0.03599748407178401
kinesthetic,has_item,random,0.022104860434807933
kinesthetic,has_item,random,0.006719224685929651
kinesthetic,has_item,random,0.00806702368867977
kinesthetic,has_item,random,0.004920903401908748
kinesthetic,has_item,random,0.0076447567810388264
kinesthetic,idle,random,0.009338797064592204
kinesthetic,idle,random,0.010041537214890229
kinesthetic,idle,random,0.010073509487649443
kinesthetic,idle,random,0.007498266014922649
kinesthetic,idle,random,0.01062037916858291
kinesthetic,searching,random,0.012031907918118496
kinesthetic,searching,random,0.010209831660177153
kinesthetic,searching,random,0.015520934361236024
kinesthetic,searching,random,0.016718283388914745
kinesthetic,searching,random,0.014626312291264784
kinesthetic,has_information,random,0.007456985454117786
kinesthetic,has_information,random,0.012161860202980698
kinesthetic,has_information,random,0.012599540250786679
kinesthetic,has_information,random,0.012741923907526537
kinesthetic,has_information,random,0.011410736303034737
visual,has_item,VAE,0.003980721641152337
visual,has_item,VAE,0.004736299475804042
visual,has_item,VAE,0.000620528701205672
visual,has_item,VAE,0.00363109043065407
visual,has_item,VAE,0.006762269059548231
visual,idle,VAE,0.06584158683891361
visual,idle,VAE,0.0032454574825265875
visual,idle,VAE,0.005946552669162954
visual,idle,VAE,0.003243366211844988
visual,idle,VAE,0.023607945142827286
visual,searching,VAE,0.004414853450699106
visual,searching,VAE,0.004262545485411656
visual,searching,VAE,0.0011685617911555892
visual,searching,VAE,0.002378987092878528
visual,searching,VAE,0.02033396602952667
visual,has_information,VAE,0.02691579601361336
visual,has_information,VAE,0.0049496491387318155
visual,has_information,VAE,0.014588117830237035
visual,has_information,VAE,0.003672661618985501
visual,has_information,VAE,0.0050985927896382375
auditory,has_item,VAE,0.04471957167991801
auditory,has_item,VAE,0.030902622576148998
auditory,has_item,VAE,0.02297300170087868
auditory,has_item,VAE,0.030760216275859953
auditory,has_item,VAE,0.02214117214914305
auditory,idle,VAE,0.015988729294971814
auditory,idle,VAE,0.006716070297599943
auditory,idle,VAE,0.017841910357099956
auditory,idle,VAE,0.01810219772019363
