,modality,conditioning,pretraining,embedding_type,embedding_size,task_idx,loss
226,auditory,taskconditioned,auditory_pretrained_embeddings,contrastive+autoencoder,128,2,2523.91103304074
227,auditory,taskconditioned,auditory_pretrained_embeddings,contrastive+autoencoder,128,3,2716.5870249745035
228,auditory,taskconditioned,auditory_pretrained_embeddings,contrastive+autoencoder,128,0,2601.6542317016856
229,auditory,taskconditioned,auditory_pretrained_embeddings,contrastive+autoencoder,128,1,2615.3785649445313
230,auditory,taskconditioned,auditory_pretrained_embeddings,contrastive+autoencoder,128,2,2684.614549928861
231,auditory,taskconditioned,auditory_pretrained_embeddings,contrastive+autoencoder,128,3,2681.20541936957
232,auditory,independent,auditory_pretrained_embeddings,contrastive+autoencoder,128,0,2718.828478158625
233,auditory,independent,auditory_pretrained_embeddings,contrastive+autoencoder,128,1,2396.0275407590893
234,auditory,independent,auditory_pretrained_embeddings,contrastive+autoencoder,128,2,3006.3328300577837
235,auditory,independent,auditory_pretrained_embeddings,contrastive+autoencoder,128,3,2483.800875606656
236,auditory,independent,auditory_pretrained_embeddings,contrastive+autoencoder,128,0,2769.495146039751
237,auditory,independent,auditory_pretrained_embeddings,contrastive+autoencoder,128,1,2587.300600132669
238,auditory,independent,auditory_pretrained_embeddings,contrastive+autoencoder,128,2,2915.070904289924
239,auditory,independent,auditory_pretrained_embeddings,contrastive+autoencoder,128,3,2528.5450243803875
240,auditory,independent,auditory_pretrained_embeddings,random,128,0,2404.060648514193
241,auditory,independent,auditory_pretrained_embeddings,random,128,1,2035.5924635247447
242,auditory,independent,auditory_pretrained_embeddings,random,128,2,2047.5330605288916
243,auditory,independent,auditory_pretrained_embeddings,random,128,3,2303.4877212058345
244,auditory,independent,auditory_pretrained_embeddings,random,128,0,2316.297473189314
245,auditory,independent,auditory_pretrained_embeddings,random,128,1,2138.1535767259065
246,auditory,independent,auditory_pretrained_embeddings,random,128,2,2050.8991716416904
247,auditory,independent,auditory_pretrained_embeddings,random,128,3,2442.8669900650234
248,auditory,independent,raw,contrastive,128,0,2498.819482212369
249,auditory,independent,raw,contrastive,128,1,2360.5015041758147
250,auditory,independent,raw,contrastive,128,2,2786.190393126157
251,auditory,independent,raw,contrastive,128,3,2826.7241632803743
252,auditory,independent,raw,contrastive,128,0,2637.46189619763
253,auditory,independent,raw,contrastive,128,1,2272.322088064033
254,auditory,independent,raw,contrastive,128,2,2786.8510264136016
255,auditory,independent,raw,contrastive,128,3,2881.836269759316
